M,P,Command,Iteration,Time
5,10000000,./main_executable_from_mlir,3,2.07
5,10000000,./main_executable_from_mlir,4,2.06
5,10000000,./main_executable_from_mlir,5,2.06
5,10000000,./main_executable_from_mlir,6,2.07
5,10000000,./main_executable_from_mlir,7,2.07
5,10000000,./main_executable_from_mlir,8,2.05
5,10000000,./main_executable_from_mlir,9,2.07
5,10000000,./main_executable_from_mlir,10,2.06
5,10000000,./main_executable_from_mlir,11,2.05
5,10000000,./main_executable_from_mlir,12,2.06
5,10000000,./main_executable_from_mlir,13,2.05
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,0,6.65
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,1,6.80
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,2,6.70
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,3,6.45
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,4,6.65
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,5,6.75
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,6,8.51
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,7,11.21
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,8,11.11
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,9,7.91
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,10,6.76
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,11,10.91
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,12,10.46
5,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,13,6.60
6,10000000,./main_executable_from_mlir,0,2.63
6,10000000,./main_executable_from_mlir,1,2.62
6,10000000,./main_executable_from_mlir,2,2.63
6,10000000,./main_executable_from_mlir,3,2.62
6,10000000,./main_executable_from_mlir,4,2.62
6,10000000,./main_executable_from_mlir,5,2.62
6,10000000,./main_executable_from_mlir,6,2.62
6,10000000,./main_executable_from_mlir,7,2.62
6,10000000,./main_executable_from_mlir,8,2.63
6,10000000,./main_executable_from_mlir,9,2.62
6,10000000,./main_executable_from_mlir,10,2.62
6,10000000,./main_executable_from_mlir,11,2.62
6,10000000,./main_executable_from_mlir,12,2.63
6,10000000,./main_executable_from_mlir,13,2.62
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,0,9.51
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,1,9.31
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,2,9.61
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,3,9.51
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,4,9.16
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,5,15.26
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,6,15.06
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,7,10.71
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,8,11.41
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,9,14.56
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,10,9.56
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,11,14.56
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,12,11.76
6,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,13,9.46
7,10000000,./main_executable_from_mlir,0,3.05
7,10000000,./main_executable_from_mlir,1,3.05
7,10000000,./main_executable_from_mlir,2,3.05
7,10000000,./main_executable_from_mlir,3,3.05
7,10000000,./main_executable_from_mlir,4,3.05
7,10000000,./main_executable_from_mlir,5,3.06
7,10000000,./main_executable_from_mlir,6,3.05
7,10000000,./main_executable_from_mlir,7,3.05
7,10000000,./main_executable_from_mlir,8,3.05
7,10000000,./main_executable_from_mlir,9,3.05
7,10000000,./main_executable_from_mlir,10,3.05
7,10000000,./main_executable_from_mlir,11,3.06
7,10000000,./main_executable_from_mlir,12,3.05
7,10000000,./main_executable_from_mlir,13,3.05
7,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,0,8.96
7,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,1,9.01
7,10000000,taskset -c 0-3 ./main_executable_from_mlir_multicore,2,9.26
